Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,65-69,15,19,-4
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,65-69,18,31,-13
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,65-69,47,53,-6
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,65-69,21,37,-16
2015,6,Gràcia,28,Vallcarca i els Penitents,65-69,17,12,5
2015,6,Gràcia,29,el Coll,65-69,5,9,-4
2015,6,Gràcia,30,la Salut,65-69,19,9,10
2015,6,Gràcia,31,la Vila de Gràcia,65-69,51,50,1
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,65-69,21,37,-16
2015,7,Horta-Guinardó,33,el Baix Guinardó,65-69,23,30,-7
2015,7,Horta-Guinardó,34,Can Baró,65-69,9,12,-3
2015,7,Horta-Guinardó,35,el Guinardó,65-69,30,23,7
2015,7,Horta-Guinardó,36,la Font d'en Fargues,65-69,8,7,1
2015,7,Horta-Guinardó,37,el Carmel,65-69,16,28,-12
2015,7,Horta-Guinardó,38,la Teixonera,65-69,9,6,3
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,65-69,4,7,-3
2015,7,Horta-Guinardó,40,Montbau,65-69,2,1,1
2015,7,Horta-Guinardó,41,la Vall d'Hebron,65-69,3,4,-1
2015,7,Horta-Guinardó,42,la Clota,65-69,0,1,-1
2015,7,Horta-Guinardó,43,Horta,65-69,8,20,-12
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,65-69,11,19,-8
2015,8,Nou Barris,45,Porta,65-69,12,16,-4
2015,8,Nou Barris,46,el Turó de la Peira,65-69,11,11,0
2015,8,Nou Barris,47,Can Peguera,65-69,1,0,1
2015,8,Nou Barris,48,la Guineueta,65-69,11,21,-10
2015,8,Nou Barris,49,Canyelles,65-69,7,4,3
2015,8,Nou Barris,50,les Roquetes,65-69,12,16,-4
2015,8,Nou Barris,51,Verdun,65-69,5,5,0
2015,8,Nou Barris,52,la Prosperitat,65-69,15,17,-2
2015,8,Nou Barris,53,la Trinitat Nova,65-69,4,2,2
2015,8,Nou Barris,54,Torre Baró,65-69,0,1,-1
2015,8,Nou Barris,55,Ciutat Meridiana,65-69,6,15,-9
2015,8,Nou Barris,56,Vallbona,65-69,1,0,1
2015,9,Sant Andreu,57,la Trinitat Vella,65-69,6,4,2
2015,9,Sant Andreu,58,Baró de Viver,65-69,1,0,1
2015,9,Sant Andreu,59,el Bon Pastor,65-69,8,16,-8
2015,9,Sant Andreu,60,Sant Andreu,65-69,30,43,-13
2015,9,Sant Andreu,61,la Sagrera,65-69,26,25,1
2015,9,Sant Andreu,62,el Congrés i els Indians,65-69,10,5,5
